file,symbol,duplicate_of,referenced_by,type,severity,category
services\crud\main.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\services\retrieval_aggregator.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\services\enhanced_router_service.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\utilities\timing_utilities.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\services\index_fabric_service.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\fact_check\routes.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\agents\knowledge_graph_service.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\cache\cached_agents.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\agents\base_agent.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\gateway\routes.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\analytics\metrics.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\services\startup_warmup_service.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\analytics\health_checks.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\agents\factcheck_agent.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\services\citations_service.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\cache\cache_metrics.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\monitoring\health.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\agents\citation_agent.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\analytics\analytics.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\cache\cache_manager.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\utilities\validation_utilities.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\agents\synthesis_agent.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\agents\retrieval_agent.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\analytics\metrics\knowledge_platform_metrics.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\gateway\gateway_app.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\cache\cached_retrieval_agent.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\cache\cache_config.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
services\analytics\integration_monitor.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\cache\cache_invalidation.py,circular import shared.core.unified_logging,circular dependency,import chain,circular,high,backend
shared\core\unified_logging.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\crud\main.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\base_agent.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\agents\base_agent.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\analytics\metrics.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\synthesis\main.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\models\models.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\gateway\providers\gpu_providers.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\analytics\health_checks.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\agents\citation_agent.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\analytics\analytics.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\gateway\real_llm_integration.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\gateway\huggingface_integration.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\connection_pool.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\vector_database.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\agents\retrieval_agent.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\gateway\gateway_app.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\gateway\analytics_collector.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\gateway\main.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\api\config.py,circular import dotenv,circular dependency,import chain,circular,high,backend
services\analytics\integration_monitor.py,circular import dotenv,circular dependency,import chain,circular,high,backend
shared\core\agent_pattern.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
services\analytics\analytics.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
shared\core\health_checker.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
services\analytics\health_checks.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
shared\core\connection_pool.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
shared\core\logging_config.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
services\analytics\integration_monitor.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
shared\core\performance.py,circular import shared.core.api.config,circular dependency,import chain,circular,high,backend
shared\core\agent_pattern.py,circular import abc,circular dependency,import chain,circular,high,backend
shared\core\cache\cache_manager.py,circular import abc,circular dependency,import chain,circular,high,backend
